DMTX,30-Jun-13,30.52,10,3,-210.83,902.3,44.35,24.85,-27.49,6.2,-33.69,0,0,0,356,2013
DWTM,30-Jun-13,135.05,10,13,-204.79,5612.52,3928.18,109.7,58.44,-4.3,62.74,0,0,0,262,2013
DSML,30-Jun-13,80,10,8,-200.22,1113.55,1707.87,53.78,-36.68,0.83,-37.51,0,0,0,1304,2013
HWQS,30-Sep-13,324,10,32,-195.39,4061.7,2571.91,203.44,-473.78,-13.3,-460.48,0,0,0,965,2013
SERT,30-Jun-13,44.49,10,4,-189.6,447.75,683.25,8.98,65.42,0.45,64.97,0,0,0,1109,2013
SERF,30-Jun-13,157.55,10,15,-184.82,0.04,0,0,-0.09,0,-0.09,0,0,0,4116,2013
OLTM,30-Jun-13,108.04,10,10,-171.92,644.06,61.55,1.22,-11.91,-0.83,-11.09,0,0,0,861,2013
ASTM,30-Jun-13,151.77,10,15,-169.19,685.95,1130.03,0.16,104.06,2.66,101.41,0,0,0,2486,2013
HATM,30-Jun-13,132.72,10,13,-136.48,545.22,136.88,2.85,0.47,20.55,-20.08,0,0,0,292,2013
SGFL,30-Jun-13,150,10,15,-123.17,630.46,0,0.01,-57.82,0,-57.82,0,0,0,8,2013
RAVT,30-Jun-13,250,10,25,-114.84,293.17,0,10.19,-30.67,0,-30.67,0,0,0,1054,2013
KSTM,30-Jun-13,107,10,10,-97.74,511.66,1084.47,17.3,-38.53,-7.63,-30.89,0,0,0,1304,2013
BROT,30-Jun-13,98.01,10,9,-71.75,365.86,0,1.06,5.38,-0.07,5.46,0,0,0,1456,2013
ELCM,30-Jun-13,13,10,1,-64.51,71.84,255.85,0.09,3.32,0.51,2.81,0,0,0,121,2013
BILF,30-Jun-13,141,10,14,-58.11,1349.18,1823.17,55.18,99.49,37.78,61.71,0,0,0,925,2013
LMSM,30-Jun-13,121.24,10,12,-52.06,241.28,0,0,-1.17,0,-1.17,0,0,0,429,2013
SDIL,30-Jun-13,39.02,10,3,-50.97,25.21,0,0,-1,0,-1,0,0,0,1692,2013
JATM,30-Jun-13,126.01,10,12,-44.72,572.06,860.04,0.23,46.29,17.99,28.3,0,0,0,1770,2013
DATM,30-Jun-13,99.1,10,9,-42.9,4.03,0,0.11,-0.48,0,-0.48,0,0,0,905,2013
KHYT,30-Jun-13,12.28,10,1,-42.85,491.78,0,0,-1.59,0,-1.59,0,0,0,436,2013
FRCL,30-Jun-13,77.41,10,7,-41.44,817.52,302.94,1.89,-10.38,-8.14,-2.24,0,0,0,979,2013
MUBT,30-Jun-13,54,10,5,-39.52,43.03,0,3.8,-1.21,0.79,-2,0,0,0,638,2013
DCTL,30-Jun-13,23.23,10,2,-39.32,6.22,4.17,0,1.84,0,1.84,0,0,0,1302,2013
JUBS,30-Jun-13,324.91,10,32,-39.03,934.72,394.45,2.72,-9.52,3.96,-13.48,0,0,0,1301,2013
SHCI,30-Jun-13,120,10,12,-29.99,65.18,11.26,0.03,-72.62,1.51,-74.13,0,0,0,905,2013
CEFP,30-Jun-13,30,10,3,-25.97,298.39,0,0,-2.46,0.01,-2.47,0,0,0,875,2013
SICL,31-Dec-13,10,10,1,-16.97,22.63,0.1,0,-1.98,0,-1.98,0,0,0,169,2013
THAS,30-Jun-13,40.5,10,4,-9.32,104.23,0,0.41,-30.13,0,-30.13,0,0,0,90,2013
NORS,30-Jun-13,4,10,0,-9.17,2.44,0,0,0.43,0.14,0.3,0,0,0,826,2013
